ID_encrypt,Start_Date,End_Date,IP_Address,What_kind_of_electives_do_you_have_,My_Monday___Thursday_teacher_is_,My_general_evaluation_of_this_teacher_is_1_,My_general_evaluation_of_this_course_is_1_,This_teacher_is_organized_and_prepared_1_,This_teacher_gives_interesting_activities_1_,This_teacher_explains_things_clearly_1_,This_teacher_answers_questions_well_1_,This_teacher_gives_students_chances_to_participate_in_class_1_,How_satisfied_were_you_with_the_textbooks_used_in_this_course__1_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_1_,What_do_you_like_about_this_teacher_class_1_,What_changes_would_make_this_class_better_1_,My_current_Monday_Wednesday_elective_is_2_,My_general_evaluation_of_this_teacher_is_2_,My_general_evaluation_of_this_course_is_2_,This_teacher_is_organized_and_prepared_2_,This_teacher_gives_interesting_activities_2_,This_teacher_explains_things_clearly_2_,This_teacher_answers_questions_well_2_,This_teacher_gives_students_chances_to_participate_in_class_2_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_2_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_2_,What_do_you_like_about_this_teacher_class_2_,What_changes_would_make_this_class_better_2_,My_current_Tuesday_Thursday_elective_is_2_,My_general_evaluation_of_this_teacher_is_3_,My_general_evaluation_of_this_course_is_3_,This_teacher_is_organized_and_prepared_3_,This_teacher_gives_interesting_activities_3_,This_teacher_explains_things_clearly_3_,This_teacher_answers_questions_well_3_,This_teacher_gives_students_chances_to_participate_in_class_3_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_3_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_3_,What_do_you_like_about_this_teacher_class_3_,What_changes_would_make_this_class_better_3_,Quarter
0x013FF9FC4DC0D8BCEC60559316C556AABE814EE3360B08052DC7F3ED71FB5222442516D21C7DFBEC06152CC34115171610F8C8FE4CF17FF6700E142E8F63A3B6C0,4/29/2017 12:11,4/29/2017 12:12,172.58.21.198,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01EDA24E08D60ACC9F47AF2A4FEC5B5D3E5944DD9768B953F5508E82D014004C2D8FFAA15CD320C8A2A3263EAA4A99AEBDA90089A24D80E81D11883732F69C6620,4/29/2017 12:03,4/29/2017 12:03,172.248.33.83,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE LISTENING AND SPEAKING (Lana Koyadinovich),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x016E6970244742B5AF869DA2EBBAA96D7DB5E8758E6290C4E4A3E29F4D21C358BCAF6DA6DC3B3A45EBB18BB05B5BB8B7F069DEFC6DDB1C49C33D8DA51DA3858D87,4/29/2017 12:01,4/29/2017 12:02,172.113.232.147,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x016CEB43D2C89A1440FF1892D5553A350E02B8204CAD53A4DB812E7E7221AB145517298EEFA48DDD774FA1F66F58C75EE09D8C16D78DB19CCBB008159929454293,4/29/2017 9:52,4/29/2017 9:55,173.117.41.201,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE LISTENING AND SPEAKING (Lana Koyadinovich),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,ACADEMIC VOCABULARY(Joan Stein),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x0128A2885A13F0369990217D29737EEEEBB23F9F47ECDA502035AA16D934B585F3BA56E70A21F40F9FFDD217A7C545394EC7EE35D156DBE3B58AEF8F27725EC832,4/29/2017 9:16,4/29/2017 9:20,45.49.234.180,I have one electiveMonday- Thursday,105 IELTS (Bobby Blundell),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,It would be better if we could have all classes in the lab computer.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x012A09F95101807404FF07E4364386A87576FE301ADEFDA48442010292D67902AD9DC61EA4ACB1CC1E66BD5403F94A0EA5E57FAB300E6FB2711F52ACC585805A87,4/29/2017 0:00,4/29/2017 0:01,76.174.177.217,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01606E3AD68F19C59C54E56CBB00AB758BED6F8D65C013EE0B1070F6BCD604433F8A260F2CFB4295E1E2BDCAA2BA17C2B90E43FD5A5B14B714E9DB1ED86D7ABF6E,4/28/2017 22:51,4/28/2017 22:55,47.151.130.74,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PUBLIC SPEAKING (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,The teacher is very organized.   The class is very useful for me.,NULL,ACADEMIC VOCABULARY(Joan Stein),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,The teacher explains everything clearly.,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x019D0AFC58C924D603B9F595319CDDF63FDFA747CF8C85CB3AA3735369636368CBD2FEBA826C09C0CF6CBBA9F621AFCF8A07431E20C7E1D49B78F6ADF20F8D2D3F,4/28/2017 21:10,4/28/2017 21:11,172.56.17.157,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PUBLIC SPEAKING (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,104 TOEFL (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x0178954242F4FAEE2B05DF73179E739EBBEA46A1F5CE10CEC323B74E16E5302A75D5FD1B886121F8E82B6AD40D2428D5B0182A28FBD0D333FEAE52FAE335BB4E34,4/28/2017 17:19,4/28/2017 17:28,172.58.21.5,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BUSINESS ENGLISH (Gene Kavenoki),A - Very good,A - Very good,I strongly agree,I somewhat disagree,I strongly agree,I strongly agree,I somewhat agree,Somewhat satisfied,Very satisfied,NULL,NULL,104 IELTS (Julie Normington),A - Very good,B - Somewhat good,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,NULL,We spent a lot of our time talking about general information. Those information we can easily find it in the IELTS website. We could have used the time more effectively by providing more valuable information that we can't easily access it. I believe for this reason most of us joined UCLA.,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01C9F8160A11BEBCDC96BD3F240F47A985068F5B45CD00B02ABDACEBE4D9D0F3EA708B5483407A70FA0B8550D720BF0F170BC149E895A1BF2F9BA2C4250992F0ED,4/28/2017 17:12,4/28/2017 17:14,104.175.210.233,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ENGLISH THROUGH MOVIES (Ben Goldberg),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,CURRENT EVENTS (Kyle Duncan),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01157C2417F13CDD27DC21456EDFCF6D5020301AAAEC2766E331DD7871E41D76A454AC42F00A57CEF430A6440CA21444FE7BD42E123D0EF3EE5FBAE6713CC581AD,4/28/2017 16:12,4/28/2017 16:14,45.49.158.198,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE LISTENING AND SPEAKING (Lana Koyadinovich),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,ACADEMIC VOCABULARY(Joan Stein),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x0167C97804FAF6F878ACB8B456924DE8B26CD81D6719DDFC9C38DFBC09D2E80175B24867E5D5AD25470D103D6BE9F6CC2A591D12139A8C71BAFAE8EAED5AD8ED45,4/28/2017 16:03,4/28/2017 16:05,24.43.105.110,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01F088D1847D01F7941688441F96BCFA0AE0A5AB6628FABC07B6A98082A07478378C230118C7C933546029BFEE6282E596FDE761E7020792F8723F92ED071DA9CE,4/28/2017 15:34,4/28/2017 15:36,104.173.216.134,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BUSINESS ENGLISH (Gene Kavenoki),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,ACADEMIC VOCABULARY(Joan Stein),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x011D5D8C850C91E15D616777EC6A5E0450BA706D2225B1CE79FE9BF21A0917C929A1CCD563C6284F1DBC2DC58A57734799F1C73AD9E358476B5F1DEFE66D3D24B1,4/28/2017 15:19,4/28/2017 15:21,131.179.58.60,I have one electiveMonday- Thursday,105 IELTS (Bobby Blundell),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01E4F17DFB304677BDE3B3170CFD101A60DE4523169109121A48E5856B400D3E238F4D64C4336204E52B04F4AFEC1FF387656ACC03DAE59382BEDCEA2FE0BAB105,4/28/2017 14:54,4/28/2017 14:55,23.243.48.234,I have one electiveMonday- Thursday,105 TOEFL (Leigh Hall),A - Very good,B - Somewhat good,I strongly agree,I somewhat agree,I strongly agree,I somewhat agree,I somewhat agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 14:19,4/29/2017 12:01,172.113.234.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 14:03,4/28/2017 14:05,24.43.105.110,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 13:58,4/28/2017 13:59,64.136.151.186,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ENGLISH THROUGH MOVIES (Ben Goldberg),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,CURRENT EVENTS (Kyle Duncan),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 13:49,4/28/2017 13:51,172.113.235.76,I have one electiveMonday- Thursday,105 IELTS (Bobby Blundell),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 13:35,4/28/2017 13:40,131.179.58.133,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ENGLISH THROUGH MOVIES (Ben Goldberg),B - Somewhat good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,AMERICAN PRONUNCIATION (Gene Kavenoki),B - Somewhat good,A - Very good,I somewhat agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 13:07,4/28/2017 13:09,131.179.60.143,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ENGLISH THROUGH MOVIES (Ben Goldberg),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,CURRENT EVENTS (Kyle Duncan),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 13:06,4/28/2017 13:07,107.77.228.112,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 12:53,4/28/2017 12:57,172.58.16.124,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ENGLISH THROUGH MOVIES (Ben Goldberg),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Somewhat satisfied,NULL,NULL,104 TOEFL (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat dissatisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 12:41,4/28/2017 12:43,172.58.19.204,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PUBLIC SPEAKING (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,Her personality,Gives me confidence to speak and learn a lot,104 IELTS (Julie Normington),B - Somewhat good,B - Somewhat good,I somewhat disagree,I strongly disagree,I somewhat agree,I strongly agree,I somewhat agree,Somewhat satisfied,Somewhat satisfied,She had a good teaching skills,I learned new things,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 12:40,4/28/2017 12:41,66.87.64.176,I have one electiveMonday- Thursday,105 IELTS (Bobby Blundell),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 12:39,4/28/2017 12:42,172.58.22.227,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PUBLIC SPEAKING (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,104 IELTS (Julie Normington),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 12:35,4/28/2017 12:36,128.97.109.51,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 12:32,4/29/2017 12:11,64.136.151.165,I have a Tuesday/Thursday elective ONLY. My Monday/Wednesday class is a Level 103.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACADEMIC VOCABULARY(Joan Stein),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/28/2017 12:31,4/28/2017 12:37,131.179.58.86,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BUSINESS ENGLISH (Gene Kavenoki),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,He is very supportive.,NULL,104 IELTS (Julie Normington),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,I think she is my good guider to improve my mistakes.,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
